Benchmark                                                Mode  Cnt         Score         Error  Units
Map10.map10_100000_rec_sequence                          avgt   25   8540110.685 ±  638791.480  ns/op
Map10.map10_100000_rec_stream                            avgt   25  10164055.839 ±  748226.039  ns/op
Map10.map10_10000_rec_collection                         avgt   25    470111.993 ±   17067.751  ns/op
Map10.map10_10000_rec_sequence                           avgt   25    516398.204 ±   13967.986  ns/op
Map10.map10_10000_rec_stream                             avgt   25    674885.053 ±   28405.898  ns/op
Map10.map10_1000_rec_collection                          avgt   25     48386.612 ±    1307.779  ns/op
Map10.map10_1000_rec_sequence                            avgt   25     53809.626 ±    1890.435  ns/op
Map10.map10_1000_rec_stream                              avgt   25     62231.315 ±    1576.191  ns/op
Map10.map10_100_rec_collection                           avgt   25      3834.093 ±     108.797  ns/op
Map10.map10_100_rec_sequence                             avgt   25      4991.596 ±     114.184  ns/op
Map10.map10_100_rec_stream                               avgt   25      6207.004 ±     244.565  ns/op
Map10.map10_50000_rec_collection                         avgt   25   2683899.956 ±   93372.421  ns/op
Map10.map10_50000_rec_sequence                           avgt   25   2673579.249 ±   85765.266  ns/op
Map10.map10_50000_rec_stream                             avgt   25   3315421.239 ±  108455.480  ns/op
Map2.map2_100000_rec_collection                          avgt   25   1554708.138 ±  136200.754  ns/op
Map2.map2_100000_rec_sequence                            avgt   25   1066563.088 ±   87883.428  ns/op
Map2.map2_100000_rec_stream                              avgt   25   1034721.226 ±   96659.724  ns/op
Map2.map2_10000_rec_collection                           avgt   25    116501.966 ±    2954.961  ns/op
Map2.map2_10000_rec_sequence                             avgt   25     68607.020 ±    1365.433  ns/op
Map2.map2_10000_rec_stream                               avgt   25     78952.896 ±    1764.589  ns/op
Map2.map2_1000_rec_collection                            avgt   25     11386.490 ±     302.223  ns/op
Map2.map2_1000_rec_sequence                              avgt   25      6773.421 ±     206.612  ns/op
Map2.map2_1000_rec_stream                                avgt   25      7075.344 ±     207.085  ns/op
Map2.map2_100_rec_collection                             avgt   25       935.848 ±      26.626  ns/op
Map2.map2_100_rec_sequence                               avgt   25       604.125 ±      20.236  ns/op
Map2.map2_100_rec_stream                                 avgt   25       604.763 ±      21.402  ns/op
Map2.map2_50000_rec_collection                           avgt   25    599876.149 ±   21503.480  ns/op
Map2.map2_50000_rec_sequence                             avgt   25    353046.874 ±   12898.599  ns/op
Map2.map2_50000_rec_stream                               avgt   25    402752.259 ±   12123.210  ns/op
Map3.map3_100000_rec_collection                          avgt   25   2712800.449 ±  197884.276  ns/op
Map3.map3_100000_rec_sequence                            avgt   25   2043896.033 ±  217243.014  ns/op
Map3.map3_100000_rec_stream                              avgt   25   2530708.584 ±  183039.363  ns/op
Map3.map3_10000_rec_collection                           avgt   25    163447.234 ±    3714.157  ns/op
Map3.map3_10000_rec_sequence                             avgt   25    141746.821 ±    4044.129  ns/op
Map3.map3_10000_rec_stream                               avgt   25    159767.789 ±    6882.799  ns/op
Map3.map3_1000_rec_collection                            avgt   25     15837.023 ±     294.780  ns/op
Map3.map3_1000_rec_sequence                              avgt   25     14634.097 ±     376.388  ns/op
Map3.map3_1000_rec_stream                                avgt   25     15694.807 ±     448.438  ns/op
Map3.map3_100_rec_collection                             avgt   25      1241.450 ±      38.134  ns/op
Map3.map3_100_rec_sequence                               avgt   25      1332.624 ±      51.990  ns/op
Map3.map3_100_rec_stream                                 avgt   25      1729.576 ±      43.475  ns/op
Map3.map3_50000_rec_collection                           avgt   25    745630.159 ±   16471.232  ns/op
